"id","addtime","schoolname","nianfen","degreetype","specname","speccode","departname","totalscore","politics","english","specialone","specialtwo","specremark"
"2743","2025-04-13 15:00:06","西南民族大学","2024","学术型硕士","马克思主义哲学","010101","哲学学院","333","47","47","71","71","（01）当代中国马克思主义哲学"
"2744","2025-04-13 15:00:06","西南民族大学","2024","学术型硕士","马克思主义哲学","010101","哲学学院","333","47","47","71","71","（02）马克思主义哲学原理"
"2745","2025-04-13 15:00:06","西南民族大学","2024","学术型硕士","马克思主义哲学","010101","哲学学院","333","47","47","71","71","（03）马克思主义科技观与当代中国社会发展"
"2746","2025-04-13 15:00:06","西南民族大学","2024","学术型硕士","中国哲学","010102","哲学学院","333","47","47","71","71","（01）儒家哲学"
"2747","2025-04-13 15:00:06","西南民族大学","2024","学术型硕士","中国哲学","010102","哲学学院","333","47","47","71","71","（02）道家哲学"
"2748","2025-04-13 15:00:06","西南民族大学","2024","学术型硕士","中国哲学","010102","哲学学院","333","47","47","71","71","（03）中国近现代哲学"
"2749","2025-04-13 15:00:06","西南民族大学","2024","学术型硕士","外国哲学","010103","哲学学院","333","47","47","71","71","（01）西方哲学史"
"2750","2025-04-13 15:00:06","西南民族大学","2024","学术型硕士","外国哲学","010103","哲学学院","333","47","47","71","71","（02）当代西方实践哲学"
"2751","2025-04-13 15:00:06","西南民族大学","2024","学术型硕士","外国哲学","010103","哲学学院","333","47","47","71","71","（03）中西哲学比较"
"2752","2025-04-13 15:00:06","西南民族大学","2024","学术型硕士","逻辑学","010104","哲学学院","333","47","47","71","71","（01）因明史与因明文献研究"
"2753","2025-04-13 15:00:06","西南民族大学","2024","学术型硕士","逻辑学","010104","哲学学院","333","47","47","71","71","（02）因明学研究"
"2754","2025-04-13 15:00:06","西南民族大学","2024","学术型硕士","逻辑学","010104","哲学学院","333","47","47","71","71","（03）因明学与西方逻辑比较"
"2755","2025-04-13 15:00:06","西南民族大学","2024","学术型硕士","伦理学","010105","哲学学院","333","47","47","71","71","（01）中国传统伦理思想与现代化"
"2756","2025-04-13 15:00:06","西南民族大学","2024","学术型硕士","伦理学","010105","哲学学院","333","47","47","71","71","（02）伦理学原理与应用伦理学"
"2757","2025-04-13 15:00:06","西南民族大学","2024","学术型硕士","伦理学","010105","哲学学院","333","47","47","71","71","（03）西方伦理思想"
